Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath
COST,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/COST.csv
TWOQ,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/TWOQ.csv
SLRU,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/SLRU.csv
SIZE,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/SIZE.csv
RAND,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/RAND.csv
LRU,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/LRU.csv
WTINYLFU_COSTSIZE,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/WTINYLFU_COSTSIZE.csv
LGD,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/LGD.csv
GDSF,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/GDSF.csv
GD,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/GD.csv
FREQSIZE,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/FREQSIZE.csv
FREQCOST,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/FREQCOST.csv
FREQ,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/FREQ.csv
COSTSIZE,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/COSTSIZE.csv
LFU,548941.0,4505154.0,46852797.0,302.0,85.35124357626776,0.000550150198290891,14917.728476821192,14663.769358839385,14999.483025600111,14999.483025600113,./log/Bernoulli/LFU.csv
WTINYLFU_LRU,548941.0,4686112.0,47033755.0,312.0,85.6808928464079,0.0005683670922740331,15019.589743589744,14351.69830288003,14555.14288223094,14650.942882230938,./log/Bernoulli/WTINYLFU_LRU.csv
TTL,548941.0,13196196.0,55543839.0,729.0,101.18362264797128,0.0013280115713710581,18101.777777777777,10491.554194536202,13313.663740885582,13656.663740885582,./log/Bernoulli/TTL.csv
