Experiment,Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath,_label
Rare,COST,3125.0,3342119.0,74047777.0,2933.0,23695.28864,0.93856,1139.488237299693,59934.153875334276,59999.89469273512,59999.95053948797,./log/Rare/COST.csv,Rare
Rare,LGD,3125.0,3342119.0,74047777.0,2933.0,23695.28864,0.93856,1139.488237299693,59934.153875334276,59999.89469273512,59999.95053948797,./log/Rare/LGD.csv,Rare
Rare,COSTSIZE,3125.0,3342119.0,74047777.0,2933.0,23695.28864,0.93856,1139.488237299693,59934.153875334276,59999.89469273512,59999.95053948797,./log/Rare/COSTSIZE.csv,Rare
Rare,SIZE,3125.0,3342151.0,74047809.0,2936.0,23695.29888,0.93952,1138.3348092643052,59926.472246459256,59999.38872987475,59999.98654677018,./log/Rare/SIZE.csv,Rare
Rare,FREQ,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59942.97730920112,59999.63275805439,59999.95412252696,./log/Rare/FREQ.csv,Rare
Rare,FREQCOST,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59944.631489837884,59999.4726764126,59999.91263231621,./log/Rare/FREQCOST.csv,Rare
Rare,FREQSIZE,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59942.97730920112,59999.63275805439,59999.95412252696,./log/Rare/FREQSIZE.csv,Rare
Rare,GD,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59944.631489837884,59999.4726764126,59999.91263231621,./log/Rare/GD.csv,Rare
Rare,GDSF,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59944.631489837884,59999.4726764126,59999.91263231621,./log/Rare/GDSF.csv,Rare
Rare,LFU,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59942.97730920112,59999.63275805439,59999.95412252696,./log/Rare/LFU.csv,Rare
Rare,LRU,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59944.20479758722,59999.78590801711,59999.90408929545,./log/Rare/LRU.csv,Rare
Rare,SLRU,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59941.061807504724,59999.93555520048,59999.95412252696,./log/Rare/SLRU.csv,Rare
Rare,TWOQ,3125.0,3343934.0,74049592.0,2937.0,23695.86944,0.93984,1138.5543071161048,59941.061807504724,59999.93555520048,59999.95412252696,./log/Rare/TWOQ.csv,Rare
Rare,TTL,3125.0,3352333.0,74057991.0,2953.0,23698.55712,0.94496,1135.2295970199798,9583.174451534733,59992.32870943257,59999.90408929545,./log/Rare/TTL.csv,Rare
Rare,RAND,3125.0,3362342.0,74068000.0,2946.0,23701.76,0.94272,1141.3245078071961,59948.29560463996,59999.93303093434,59999.965647870384,./log/Rare/RAND.csv,Rare
Rare,WTINYLFU_LRU,3125.0,3454821.0,74160479.0,2990.0,23731.35328,0.9568,1155.4585284280936,59899.2678475325,59999.65574048081,59999.84081946985,./log/Rare/WTINYLFU_LRU.csv,Rare
Rare,WTINYLFU_COSTSIZE,3125.0,3561202.0,74266860.0,2996.0,23765.3952,0.95872,1188.6522029372497,59874.775683674576,59999.65574048081,59999.84081946985,./log/Rare/WTINYLFU_COSTSIZE.csv,Rare
